name,state,state_code,type,degree_length,room_and_board,in_state_tuition,in_state_total,out_of_state_tuition,out_of_state_total,rank,early_career_pay,mid_career_pay,make_world_better_percent,stem_percent,region
William Carey University,Mississippi,MS,Private,4 Year,6810,12600,19410,12600,19410,9,41100,71800,61,6,South
William Jewell College,Missouri,MO,Private,4 Year,9930,34400,44330,34400,44330,6,51400,94500,60,12,North Central
William Paterson University of New Jersey,New Jersey,NJ,Public,4 Year,11445,13060,24505,21260,32705,21,50500,90200,44,7,Northeast
William Penn University,Iowa,IA,Private,4 Year,6952,25600,32552,25600,32552,23,43900,78300,59,7,North Central
Williams College,Massachusetts,MA,Private,4 Year,14500,55450,69950,55450,69950,5,67500,127500,47,32,Northeast
Wilmington University,Delaware,DE,Private,4 Year,NA,11210,11210,11210,11210,5,45100,76600,50,4,South
Winona State University,Minnesota,MN,Public,4 Year,9010,9425,18435,15348,24358,16,49700,86800,51,10,North Central
Winthrop University,South Carolina,SC,Public,4 Year,9312,15590,24902,29846,39158,11,44300,79700,49,9,South
Wisconsin Lutheran College,Wisconsin,WI,Private,4 Year,10190,29725,39915,29725,39915,20,46200,82500,45,10,North Central
Wittenberg University,Ohio,OH,Private,4 Year,10356,39500,49856,39500,49856,3,52400,105400,61,22,North Central
Wofford College,South Carolina,SC,Private,4 Year,12685,43845,56530,43845,56530,4,51300,96600,51,28,South
Worcester Polytechnic Institute,Massachusetts,MA,Private,4 Year,14774,50530,65304,50530,65304,3,73600,135500,47,86,Northeast
Wright State University,Ohio,OH,Public,4 Year,11832,9254,21086,18398,30230,24,50300,87800,49,31,North Central
Xavier University,Ohio,OH,Private,4 Year,12780,38530,51310,38530,51310,16,51800,94000,46,7,North Central
Xavier University of Louisiana,Louisiana,LA,Private,4 Year,9047,24488,33535,24488,33535,11,46700,88200,63,35,South
Yale University,Connecticut,CT,Private,4 Year,16000,53430,69430,53430,69430,1,70300,138300,53,22,Northeast
Yeshiva University,New York,NY,Private,4 Year,12250,43500,55750,43500,55750,15,63500,112800,40,11,Northeast
